City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,hawaiian paradise park,19.5933,-154.9731,80.11,71.0,20.0,10.36,US,1700262406.0
142,bouarfa,32.53,-1.95,58.35,28.0,2.0,3.78,MA,1700262406.0
143,tazovsky,67.4667,78.7,5.56,94.0,100.0,12.68,RU,1700262407.0
144,kaliua,-5.0606,31.7936,70.43,66.0,100.0,4.79,TZ,1700262407.0
145,itacare,-14.2775,-38.9967,78.75,81.0,20.0,10.69,BR,1700262407.0
146,wanxian,30.8039,108.3897,51.46,78.0,100.0,3.22,CN,1700262408.0
147,badger,64.8,-147.5333,12.07,78.0,75.0,10.36,US,1700262408.0
148,kailua-kona,19.6406,-155.9956,82.36,73.0,20.0,11.5,US,1700262408.0
149,la'ie,21.6477,-157.9253,84.16,64.0,25.0,11.01,US,1700262408.0
150,pasni,25.2631,63.471,74.55,56.0,5.0,4.88,PK,1700262153.0
151,zhangye,38.9342,100.4517,34.11,27.0,0.0,5.06,CN,1700262409.0
152,kyadabek,40.5656,45.8161,33.84,72.0,100.0,1.99,AZ,1700262409.0
153,labrador city,52.9463,-66.9114,31.91,100.0,100.0,9.22,CA,1700262215.0
154,ust-tsilma,65.441,52.1498,2.61,100.0,98.0,1.01,RU,1700262410.0
155,dudinka,69.4058,86.1778,7.68,95.0,98.0,11.01,RU,1700262410.0
156,atafu village,-8.5421,-172.5159,84.56,72.0,39.0,2.71,TK,1700262411.0
157,mukalla,14.5425,49.1242,78.96,82.0,82.0,5.77,YE,1700262411.0
158,jayapura,-2.5333,140.7,81.79,85.0,64.0,4.34,ID,1700262411.0
159,katsuren-haebaru,26.3369,127.8719,66.97,47.0,100.0,17.27,JP,1700262411.0
160,shahr-e babak,30.1165,55.1186,49.96,61.0,0.0,1.61,IR,1700262412.0
161,cam ranh,11.9214,109.1591,78.76,69.0,40.0,19.57,VN,1700262412.0
164,ventspils,57.3894,21.5606,31.93,59.0,100.0,1.14,LV,1700262413.0
165,nogliki,51.8333,143.1667,31.33,76.0,100.0,5.99,RU,1700262413.0
166,saipan,15.1355,145.701,79.5,89.0,100.0,12.66,MP,1700262414.0
167,shush,32.1942,48.2436,68.47,60.0,0.0,5.86,IR,1700262414.0
